precision@1,precision@5,precision@10,precision@20,precision@30,recall@1,recall@5,recall@10,recall@20,recall@30
1.0,0.2,0.2,0.3,0.3,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.1016949152542373,0.15254237288135594
1.0,0.6,0.3,0.15,0.1,0.016666666666666666,0.05,0.05,0.05,0.05
1.0,0.4,0.4,0.3,0.23333333333333334,0.01694915254237288,0.03389830508474576,0.06779661016949153,0.1016949152542373,0.11864406779661017
1.0,0.6,0.4,0.5,0.5,0.018867924528301886,0.05660377358490566,0.07547169811320754,0.18867924528301888,0.2830188679245283
1.0,1.0,1.0,0.95,0.9333333333333333,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.31666666666666665,0.4666666666666667
1.0,1.0,0.9,0.9,0.8666666666666667,0.016666666666666666,0.08333333333333333,0.15,0.3,0.43333333333333335
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,1.0,1.0,0.85,0.8666666666666667,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.2833333333333333,0.43333333333333335
1.0,1.0,1.0,0.85,0.7,0.0196078431372549,0.09803921568627451,0.19607843137254902,0.3333333333333333,0.4117647058823529
1.0,0.6,0.8,0.65,0.5,0.018867924528301886,0.05660377358490566,0.1509433962264151,0.24528301886792453,0.2830188679245283
1.0,1.0,0.8,0.65,0.5,0.016666666666666666,0.08333333333333333,0.13333333333333333,0.21666666666666667,0.25
1.0,1.0,1.0,0.95,0.8333333333333334,0.01694915254237288,0.0847457627118644,0.1694915254237288,0.3220338983050847,0.423728813559322
1.0,0.4,0.4,0.25,0.2,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.08333333333333333,0.1
1.0,1.0,1.0,0.8,0.6333333333333333,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.26666666666666666,0.31666666666666665
1.0,0.8,0.9,0.75,0.6666666666666666,0.016666666666666666,0.06666666666666667,0.15,0.25,0.3333333333333333
1.0,0.4,0.2,0.1,0.16666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.08333333333333333
1.0,0.6,0.6,0.65,0.6666666666666666,0.016666666666666666,0.05,0.1,0.21666666666666667,0.3333333333333333
1.0,1.0,0.9,0.65,0.6,0.01694915254237288,0.0847457627118644,0.15254237288135594,0.22033898305084745,0.3050847457627119
1.0,1.0,0.9,0.6,0.5666666666666667,0.016666666666666666,0.08333333333333333,0.15,0.2,0.2833333333333333
1.0,0.8,0.6,0.55,0.5,0.016666666666666666,0.06666666666666667,0.1,0.18333333333333332,0.25
1.0,1.0,0.9,0.7,0.7,0.016666666666666666,0.08333333333333333,0.15,0.23333333333333334,0.35
1.0,0.8,0.6,0.5,0.43333333333333335,0.016666666666666666,0.06666666666666667,0.1,0.16666666666666666,0.21666666666666667
1.0,0.8,0.5,0.45,0.36666666666666664,0.01694915254237288,0.06779661016949153,0.0847457627118644,0.15254237288135594,0.1864406779661017
1.0,0.6,0.5,0.5,0.5,0.017857142857142856,0.05357142857142857,0.08928571428571429,0.17857142857142858,0.26785714285714285
1.0,1.0,0.7,0.5,0.43333333333333335,0.016666666666666666,0.08333333333333333,0.11666666666666667,0.16666666666666666,0.21666666666666667
1.0,0.4,0.4,0.3,0.2,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.1,0.1
1.0,0.6,0.6,0.45,0.3333333333333333,0.016666666666666666,0.05,0.1,0.15,0.16666666666666666
1.0,1.0,0.9,0.7,0.5333333333333333,0.016666666666666666,0.08333333333333333,0.15,0.23333333333333334,0.26666666666666666
1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5
1.0,0.2,0.3,0.3,0.23333333333333334,0.016666666666666666,0.016666666666666666,0.05,0.1,0.11666666666666667
1.0,1.0,1.0,1.0,0.8666666666666667,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.43333333333333335
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5
1.0,1.0,1.0,0.85,0.6666666666666666,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.2833333333333333,0.3333333333333333
1.0,0.8,0.9,0.75,0.6333333333333333,0.016666666666666666,0.06666666666666667,0.15,0.25,0.31666666666666665
1.0,1.0,1.0,0.95,0.9,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.31666666666666665,0.45
1.0,0.6,0.6,0.45,0.5,0.016666666666666666,0.05,0.1,0.15,0.25
1.0,1.0,1.0,0.9,0.8333333333333334,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3,0.4166666666666667
1.0,1.0,0.9,0.8,0.6666666666666666,0.016666666666666666,0.08333333333333333,0.15,0.26666666666666666,0.3333333333333333
1.0,0.8,0.8,0.55,0.5333333333333333,0.017241379310344827,0.06896551724137931,0.13793103448275862,0.1896551724137931,0.27586206896551724
1.0,1.0,0.9,0.95,0.7666666666666667,0.017543859649122806,0.08771929824561403,0.15789473684210525,0.3333333333333333,0.40350877192982454
1.0,0.4,0.3,0.2,0.13333333333333333,0.016666666666666666,0.03333333333333333,0.05,0.06666666666666667,0.06666666666666667
1.0,1.0,0.7,0.75,0.7,0.016666666666666666,0.08333333333333333,0.11666666666666667,0.25,0.35
1.0,0.2,0.1,0.05,0.03333333333333333,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
1.0,0.8,0.8,0.5,0.4666666666666667,0.016666666666666666,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.23333333333333334
1.0,0.6,0.4,0.45,0.43333333333333335,0.016666666666666666,0.05,0.06666666666666667,0.15,0.21666666666666667
1.0,0.6,0.3,0.15,0.1,0.016666666666666666,0.05,0.05,0.05,0.05
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.6,0.5,0.7,0.6333333333333333,0.016666666666666666,0.05,0.08333333333333333,0.23333333333333334,0.31666666666666665
1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5
1.0,1.0,1.0,0.95,0.8333333333333334,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.31666666666666665,0.4166666666666667
1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5
1.0,0.4,0.3,0.25,0.3,0.016666666666666666,0.03333333333333333,0.05,0.08333333333333333,0.15
1.0,0.4,0.2,0.1,0.06666666666666667,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
1.0,0.4,0.6,0.5,0.5,0.016666666666666666,0.03333333333333333,0.1,0.16666666666666666,0.25
1.0,0.6,0.5,0.45,0.4,0.016666666666666666,0.05,0.08333333333333333,0.15,0.2
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,1.0,0.7,0.7,0.5666666666666667,0.017241379310344827,0.08620689655172414,0.1206896551724138,0.2413793103448276,0.29310344827586204
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.8,0.5,0.45,0.4,0.016666666666666666,0.06666666666666667,0.08333333333333333,0.15,0.2
1.0,0.6,0.3,0.15,0.13333333333333333,0.020833333333333332,0.0625,0.0625,0.0625,0.08333333333333333
1.0,1.0,1.0,0.8,0.7,0.01694915254237288,0.0847457627118644,0.1694915254237288,0.2711864406779661,0.3559322033898305
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,0.4,0.3,0.15,0.1,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.05084745762711865,0.05084745762711865
1.0,0.2,0.3,0.25,0.23333333333333334,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.0847457627118644,0.11864406779661017
1.0,0.4,0.3,0.25,0.2,0.016666666666666666,0.03333333333333333,0.05,0.08333333333333333,0.1
