precision@1,precision@5,precision@10,precision@20,precision@30,recall@1,recall@5,recall@10,recall@20,recall@30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6,0.3,0.2,0.13333333333333333,0.0,0.05,0.05,0.06666666666666667,0.06666666666666667
0.0,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.1,0.1,0.0,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.05172413793103448
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.6,0.5,0.35,0.26666666666666666,0.016666666666666666,0.05,0.08333333333333333,0.11666666666666667,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.2,0.2,0.25,0.16666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.08333333333333333,0.08333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.13333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.06666666666666667
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.03333333333333333,0.05
0.0,0.0,0.1,0.05,0.06666666666666667,0.0,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.01694915254237288
1.0,0.8,0.5,0.35,0.26666666666666666,0.016666666666666666,0.06666666666666667,0.08333333333333333,0.11666666666666667,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.15,0.13333333333333333,0.0,0.0,0.016666666666666666,0.05,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.05,0.06666666666666667,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
0.0,0.0,0.2,0.2,0.13333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667
0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.05,0.05
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.06666666666666667,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0.15,0.13333333333333333,0.0,0.0,0.03333333333333333,0.05,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.05,0.06666666666666667,0.0,0.0,0.018867924528301886,0.018867924528301886,0.03773584905660377
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.05,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.4,0.2,0.2,0.13333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667
1.0,0.8,0.7,0.35,0.23333333333333334,0.016666666666666666,0.06666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666
0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.03333333333333333,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.1,0.06666666666666667,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
0.0,0.0,0.1,0.1,0.06666666666666667,0.0,0.0,0.017857142857142856,0.03571428571428571,0.03571428571428571
0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.01694915254237288
1.0,0.4,0.2,0.1,0.06666666666666667,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666
1.0,0.2,0.1,0.1,0.1,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.15,0.13333333333333333,0.0,0.0,0.0,0.05,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.15,0.1,0.0,0.016666666666666666,0.016666666666666666,0.05,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.1,0.05,0.06666666666666667,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288
0.0,0.2,0.2,0.15,0.13333333333333333,0.0,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.06779661016949153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.15,0.16666666666666666,0.0,0.0,0.016666666666666666,0.05,0.08333333333333333
0.0,0.2,0.2,0.1,0.1,0.0,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.05
1.0,0.2,0.2,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333
0.0,0.2,0.1,0.05,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.2,0.1,0.1,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.05084745762711865
0.0,0.0,0.1,0.1,0.13333333333333333,0.0,0.0,0.016666666666666666,0.03333333333333333,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.4,0.2,0.1,0.06666666666666667,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03389830508474576
1.0,0.6,0.6,0.4,0.26666666666666666,0.016666666666666666,0.05,0.1,0.13333333333333333,0.13333333333333333
0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886
0.0,0.0,0.0,0.05,0.06666666666666667,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333
0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
0.0,0.0,0.1,0.15,0.16666666666666666,0.0,0.0,0.016666666666666666,0.05,0.08333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.05,0.03333333333333333,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
1.0,0.4,0.3,0.15,0.1,0.016666666666666666,0.03333333333333333,0.05,0.05,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.1,0.1,0.06666666666666667,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4,0.3,0.2,0.16666666666666666,0.0,0.03333333333333333,0.05,0.06666666666666667,0.08333333333333333
0.0,0.0,0.1,0.05,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.2,0.1,0.06666666666666667,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.04081632653061224
0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.016666666666666666,0.03333333333333333,0.05
0.0,0.0,0.0,0.05,0.06666666666666667,0.0,0.0,0.0,0.01694915254237288,0.03389830508474576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
