precision@1,precision@5,precision@10,precision@20,precision@30,recall@1,recall@5,recall@10,recall@20,recall@30
1.0,0.2,0.1,0.05,0.03333333333333333,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.06666666666666667,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576
1.0,0.4,0.2,0.15,0.1,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.05660377358490566,0.05660377358490566
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,0.2,0.2,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
1.0,0.2,0.1,0.05,0.03333333333333333,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.2,0.2,0.13333333333333333,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.06779661016949153,0.06779661016949153
1.0,0.2,0.3,0.15,0.1,0.016666666666666666,0.016666666666666666,0.05,0.05,0.05
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.2,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.4,0.2,0.1,0.06666666666666667,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576
1.0,0.2,0.2,0.1,0.06666666666666667,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.03571428571428571
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.4,0.2,0.1,0.1,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.05
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,0.2,0.1,0.1,0.06666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
1.0,0.2,0.1,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
